circuit_id,country,seasons_held,total_races,first_season,last_season,avg_lap_time_ms,fastest_lap_ms
red_bull_ring,Austria,11,13,2015,2025,76465.31928181108,67241
bahrain,Bahrain,11,12,2015,2025,104555.70903790087,60098
silverstone,UK,11,12,2015,2025,115832.83263246425,90087
catalunya,Spain,11,11,2015,2025,91530.17013232515,76666
monza,Italy,11,11,2015,2025,91340.01062887511,82700
hungaroring,Hungary,11,11,2015,2025,90162.13141486811,78039
yas_marina,UAE,11,11,2015,2025,101999.58471965496,85637
spa,Belgium,11,11,2015,2025,133869.30844793713,108656
interlagos,Brazil,10,10,2015,2025,89274.3474533535,71044
monaco,Monaco,10,10,2015,2025,87907.6527217742,73916
americas,USA,10,10,2015,2025,108077.81705426356,97330
rodriguez,Mexico,10,10,2015,2025,90434.792,79214
baku,Azerbaijan,9,9,2016,2025,121766.18534482758,106381
suzuka,Japan,9,9,2015,2025,113120.89765258216,91039
villeneuve,Canada,9,9,2015,2025,85013.01666666666,74066
marina_bay,Singapore,9,9,2015,2025,116198.53414948453,94573
albert_park,Australia,9,9,2015,2025,103950.88264794383,80260
sochi,Russia,7,7,2015,2021,127266.16137931035,99000
shanghai,China,7,7,2015,2025,108405.93352326685,94742
imola,Italy,5,5,2020,2025,94140.952,75914
jeddah,Saudi Arabia,5,5,2021,2025,103913.998,93397
zandvoort,Netherlands,5,5,2021,2025,83146.836,73450
ricard,France,4,4,2018,2022,109769.39425051335,92740
losail,Qatar,4,4,2021,2025,102938.93169877407,83198
miami,USA,4,4,2022,2025,96312.93455098935,90372
sepang,Malaysia,3,3,2015,2017,112226.03571428571,94770
hockenheimring,Germany,3,3,2016,2019,92313.81046931408,76596
vegas,USA,3,3,2023,2025,118654.95333333334,96463
portimao,Portugal,2,2,2020,2021,93589.5725,79502
istanbul,Turkey,2,2,2020,2021,104471.50531914894,91962
mugello,Italy,1,1,2020,2020,134758.11,106834
nurburgring,Germany,1,1,2020,2020,95463.76068376069,88139
