season,constructor_id,drivers_used,race_entries,wins,podiums,total_points,avg_finish_position,finishes,dnfs,dnf_rate_pct
2025,mclaren,2,48,14,34,775.0,3.2,43,3,6.3
2025,mercedes,2,48,2,12,424.0,6.204545454545454,41,4,8.3
2025,red_bull,3,48,8,15,410.0,7.488888888888889,39,3,6.3
2025,ferrari,2,48,0,7,360.0,6.023809523809524,41,6,12.5
2025,williams,2,48,0,2,124.0,10.2,31,8,16.7
2025,rb,3,48,0,1,88.0,11.404761904761905,28,6,12.5
2025,aston_martin,2,47,0,0,80.0,12.0,29,6,12.8
2025,haas,2,48,0,0,73.0,11.477272727272727,34,4,8.3
2025,sauber,2,48,0,1,70.0,12.333333333333334,25,9,18.8
2025,alpine,3,48,0,0,20.0,14.714285714285714,19,6,12.5
2024,mclaren,2,48,6,21,609.0,4.708333333333333,47,0,0.0
2024,ferrari,3,48,5,22,595.0,4.355555555555555,43,3,6.3
2024,red_bull,2,48,9,18,537.0,5.255813953488372,39,5,10.4
2024,mercedes,2,48,4,9,433.0,6.044444444444444,43,3,6.3
2024,aston_martin,2,48,0,0,94.0,11.159090909090908,26,4,8.3
2024,alpine,3,48,0,2,63.0,12.428571428571429,18,6,12.5
2024,haas,3,48,0,0,51.0,11.818181818181818,27,4,8.3
2024,rb,3,48,0,0,40.0,12.428571428571429,19,6,12.5
2024,williams,3,47,0,0,17.0,13.8,14,12,25.5
2024,sauber,2,48,0,0,4.0,15.386363636363637,11,4,8.3
2023,red_bull,2,44,21,30,790.0,2.8095238095238093,41,2,4.5
2023,mercedes,2,44,0,8,374.0,6.075,38,4,9.1
2023,ferrari,2,44,1,9,363.0,6.026315789473684,36,6,13.6
2023,mclaren,2,44,0,9,266.0,8.475,32,4,9.1
2023,aston_martin,2,44,0,8,266.0,7.368421052631579,36,6,13.6
2023,alpine,2,44,0,2,110.0,9.837837837837839,32,7,15.9
2023,williams,2,44,0,0,26.0,13.13888888888889,24,8,18.2
2023,alphatauri,4,44,0,0,22.0,13.170731707317072,24,3,6.8
2023,alfa,2,44,0,0,16.0,13.394736842105264,24,6,13.6
2023,haas,2,44,0,0,9.0,14.675,17,4,9.1
2022,red_bull,2,44,17,28,724.0,3.3658536585365852,39,3,6.8
2022,ferrari,2,44,4,20,519.0,3.4,35,9,20.5
2022,mercedes,2,44,1,17,495.0,4.880952380952381,39,2,4.5
2022,alpine,2,44,0,0,170.0,8.405405405405405,29,7,15.9
2022,mclaren,2,44,0,1,150.0,9.666666666666666,32,5,11.4
2022,aston_martin,3,44,0,0,55.0,11.2,28,4,9.1
2022,alfa,2,44,0,0,53.0,11.647058823529411,21,10,22.7
2022,alphatauri,2,44,0,0,35.0,12.257142857142858,21,9,20.5
2022,haas,2,44,0,0,33.0,13.405405405405405,18,7,15.9
2022,williams,3,44,0,0,8.0,14.166666666666666,17,8,18.2
2021,mercedes,2,44,9,28,604.5,3.7948717948717947,38,5,11.4
2021,red_bull,2,44,11,23,578.5,4.282051282051282,36,5,11.4
