season,driver_id,races_entered,wins,podiums,points_finishes,total_points,avg_finish_position,avg_grid_position,best_finish,races_finished,dnfs
2026,antonelli,9,5,7,7,158.0,4.555555555555555,1.7777777777777777,1.0,8,0
2026,hamilton,9,1,5,9,129.0,3.5555555555555554,4.222222222222222,1.0,9,0
2026,russell,9,2,5,7,128.0,3.5,2.5555555555555554,1.0,8,1
2026,leclerc,9,1,3,7,87.0,5.75,4.555555555555555,1.0,7,1
2026,norris,9,0,2,6,71.0,4.333333333333333,5.333333333333333,2.0,6,3
2026,max_verstappen,9,0,2,6,67.0,6.857142857142857,7.333333333333333,2.0,6,2
2026,piastri,9,0,2,5,65.0,5.857142857142857,5.888888888888889,2.0,6,2
2026,hadjar,9,0,0,6,52.0,6.571428571428571,8.11111111111111,4.0,5,2
2026,gasly,9,0,1,7,41.0,8.0,11.11111111111111,3.0,4,1
2026,lawson,9,0,0,7,36.0,8.125,10.666666666666666,6.0,4,1
2026,arvid_lindblad,9,0,0,5,19.0,10.125,11.555555555555555,7.0,3,1
2026,colapinto,9,0,0,5,18.0,11.222222222222221,13.666666666666666,6.0,4,0
2026,bearman,9,0,0,3,17.0,10.857142857142858,14.222222222222221,5.0,2,2
2026,bortoleto,9,0,0,2,6.0,11.0,13.333333333333334,8.0,3,1
2026,sainz,9,0,0,3,6.0,12.75,15.666666666666666,9.0,2,1
2026,albon,9,0,0,2,5.0,13.4,16.666666666666668,8.0,2,4
2026,ocon,9,0,0,2,3.0,12.555555555555555,15.0,9.0,3,0
2026,alonso,9,0,0,1,1.0,15.8,19.666666666666668,10.0,1,4
2026,bottas,9,0,0,0,0.0,16.4,19.555555555555557,13.0,1,4
2026,stroll,9,0,0,0,0.0,17.0,21.22222222222222,15.0,0,6
2026,hulkenberg,9,0,0,0,0.0,11.8,11.555555555555555,11.0,2,4
2026,perez,9,0,0,0,0.0,15.285714285714286,19.333333333333332,14.0,3,2
2025,norris,24,7,18,21,394.0,3.608695652173913,2.9583333333333335,1.0,21,1
