driver_id,code,permanent_number,given_name,family_name,full_name,date_of_birth,nationality
aitken,AIT,89.0,Jack,Aitken,Jack Aitken,1995-09-23,British
albon,ALB,23.0,Alexander,Albon,Alexander Albon,1996-03-23,Thai
alonso,ALO,14.0,Fernando,Alonso,Fernando Alonso,1981-07-29,Spanish
antonelli,ANT,12.0,Andrea Kimi,Antonelli,Andrea Kimi Antonelli,2006-08-25,Italian
paul_aron,,,Paul,Aron,Paul Aron,,
bearman,BEA,87.0,Oliver,Bearman,Oliver Bearman,2005-05-08,British
dino_beganovic,,,Dino,Beganovic,Dino Beganovic,,
bortoleto,BOR,5.0,Gabriel,Bortoleto,Gabriel Bortoleto,2004-10-14,Brazilian
bottas,BOT,77.0,Valtteri,Bottas,Valtteri Bottas,1989-08-28,Finnish
luke_browning,,,Luke,Browning,Luke Browning,,
button,BUT,22.0,Jenson,Button,Jenson Button,1980-01-19,British
colapinto,COL,43.0,Franco,Colapinto,Franco Colapinto,2003-05-27,Argentine
jak_crawford,,,Jak,Crawford,Jak Crawford,,
doohan,DOO,7.0,Jack,Doohan,Jack Doohan,2003-01-20,Australian
felipe_drugovich,,,Felipe,Drugovich,Felipe Drugovich,,
alexander_dunne,,,Alexander,Dunne,Alexander Dunne,,
ericsson,ERI,9.0,Marcus,Ericsson,Marcus Ericsson,1990-09-02,Swedish
pietro_fittipaldi,FIT,51.0,Pietro,Fittipaldi,Pietro Fittipaldi,1996-06-25,Brazilian
antonio_fuoco,,,Antonio,Fuoco,Antonio Fuoco,,
gasly,GAS,10.0,Pierre,Gasly,Pierre Gasly,1996-02-07,French
giovinazzi,GIO,99.0,Antonio,Giovinazzi,Antonio Giovinazzi,1993-12-14,Italian
grosjean,GRO,8.0,Romain,Grosjean,Romain Grosjean,1986-04-17,French
gutierrez,GUT,21.0,Esteban,Gutiérrez,Esteban Gutiérrez,1991-08-05,Mexican
hadjar,HAD,6.0,Isack,Hadjar,Isack Hadjar,2004-09-28,French
hamilton,HAM,44.0,Lewis,Hamilton,Lewis Hamilton,1985-01-07,British
brendon_hartley,HAR,28.0,Brendon,Hartley,Brendon Hartley,1989-11-10,New Zealander
haryanto,HAR,88.0,Rio,Haryanto,Rio Haryanto,1993-01-22,Indonesian
ryo_hirakawa,,,Ryo,Hirakawa,Ryo Hirakawa,,
hulkenberg,HUL,27.0,Nico,Hülkenberg,Nico Hülkenberg,1987-08-19,German
ayumu_iwasa,,,Ayumu,Iwasa,Ayumu Iwasa,,
kubica,KUB,88.0,Robert,Kubica,Robert Kubica,1984-12-07,Polish
kvyat,KVY,26.0,Daniil,Kvyat,Daniil Kvyat,1994-04-26,Russian
latifi,LAT,6.0,Nicholas,Latifi,Nicholas Latifi,1995-06-29,Canadian
lawson,LAW,30.0,Liam,Lawson,Liam Lawson,2002-02-11,New Zealander
arthur_leclerc,,,Arthur,Leclerc,Arthur Leclerc,,
leclerc,LEC,16.0,Charles,Leclerc,Charles Leclerc,1997-10-16,Monegasque
arvid_lindblad,LIN,41.0,Arvid,Lindblad,Arvid Lindblad,2007-08-08,British
kevin_magnussen,MAG,20.0,Kevin,Magnussen,Kevin Magnussen,1992-10-05,Danish
maldonado,MAL,13.0,Pastor,Maldonado,Pastor Maldonado,1985-03-09,Venezuelan
victor_martins,,,Victor,Martins,Victor Martins,,
massa,MAS,19.0,Felipe,Massa,Felipe Massa,1981-04-25,Brazilian
mazepin,MAZ,9.0,Nikita,Mazepin,Nikita Mazepin,1999-03-02,Russian
