race_id,season,round,race_name,circuit_id,country,race_date,race_year,race_month
2015_01,2015,1,Australian Grand Prix,albert_park,Australia,2015-03-15,2015,3
2015_02,2015,2,Malaysian Grand Prix,sepang,Malaysia,2015-03-29,2015,3
2015_03,2015,3,Chinese Grand Prix,shanghai,China,2015-04-12,2015,4
2015_04,2015,4,Bahrain Grand Prix,bahrain,Bahrain,2015-04-19,2015,4
2015_05,2015,5,Spanish Grand Prix,catalunya,Spain,2015-05-10,2015,5
2015_06,2015,6,Monaco Grand Prix,monaco,Monaco,2015-05-24,2015,5
2015_07,2015,7,Canadian Grand Prix,villeneuve,Canada,2015-06-07,2015,6
2015_08,2015,8,Austrian Grand Prix,red_bull_ring,Austria,2015-06-21,2015,6
2015_09,2015,9,British Grand Prix,silverstone,UK,2015-07-05,2015,7
2015_10,2015,10,Hungarian Grand Prix,hungaroring,Hungary,2015-07-26,2015,7
2015_11,2015,11,Belgian Grand Prix,spa,Belgium,2015-08-23,2015,8
2015_12,2015,12,Italian Grand Prix,monza,Italy,2015-09-06,2015,9
2015_13,2015,13,Singapore Grand Prix,marina_bay,Singapore,2015-09-20,2015,9
2015_14,2015,14,Japanese Grand Prix,suzuka,Japan,2015-09-27,2015,9
2015_15,2015,15,Russian Grand Prix,sochi,Russia,2015-10-11,2015,10
2015_16,2015,16,United States Grand Prix,americas,USA,2015-10-25,2015,10
2015_17,2015,17,Mexican Grand Prix,rodriguez,Mexico,2015-11-01,2015,11
2015_18,2015,18,Brazilian Grand Prix,interlagos,Brazil,2015-11-15,2015,11
2015_19,2015,19,Abu Dhabi Grand Prix,yas_marina,UAE,2015-11-29,2015,11
2016_01,2016,1,Australian Grand Prix,albert_park,Australia,2016-03-20,2016,3
2016_02,2016,2,Bahrain Grand Prix,bahrain,Bahrain,2016-04-03,2016,4
2016_03,2016,3,Chinese Grand Prix,shanghai,China,2016-04-17,2016,4
2016_04,2016,4,Russian Grand Prix,sochi,Russia,2016-05-01,2016,5
2016_05,2016,5,Spanish Grand Prix,catalunya,Spain,2016-05-15,2016,5
2016_06,2016,6,Monaco Grand Prix,monaco,Monaco,2016-05-29,2016,5
2016_07,2016,7,Canadian Grand Prix,villeneuve,Canada,2016-06-12,2016,6
2016_08,2016,8,European Grand Prix,baku,Azerbaijan,2016-06-19,2016,6
2016_09,2016,9,Austrian Grand Prix,red_bull_ring,Austria,2016-07-03,2016,7
2016_10,2016,10,British Grand Prix,silverstone,UK,2016-07-10,2016,7
2016_11,2016,11,Hungarian Grand Prix,hungaroring,Hungary,2016-07-24,2016,7
2016_12,2016,12,German Grand Prix,hockenheimring,Germany,2016-07-31,2016,7
2016_13,2016,13,Belgian Grand Prix,spa,Belgium,2016-08-28,2016,8
2016_14,2016,14,Italian Grand Prix,monza,Italy,2016-09-04,2016,9
2016_15,2016,15,Singapore Grand Prix,marina_bay,Singapore,2016-09-18,2016,9
2016_16,2016,16,Malaysian Grand Prix,sepang,Malaysia,2016-10-02,2016,10
2016_17,2016,17,Japanese Grand Prix,suzuka,Japan,2016-10-09,2016,10
2016_18,2016,18,United States Grand Prix,americas,USA,2016-10-23,2016,10
2016_19,2016,19,Mexican Grand Prix,rodriguez,Mexico,2016-10-30,2016,10
2016_20,2016,20,Brazilian Grand Prix,interlagos,Brazil,2016-11-13,2016,11
2016_21,2016,21,Abu Dhabi Grand Prix,yas_marina,UAE,2016-11-27,2016,11
2017_01,2017,1,Australian Grand Prix,albert_park,Australia,2017-03-26,2017,3
2017_02,2017,2,Chinese Grand Prix,shanghai,China,2017-04-09,2017,4
2017_03,2017,3,Bahrain Grand Prix,bahrain,Bahrain,2017-04-16,2017,4
2017_04,2017,4,Russian Grand Prix,sochi,Russia,2017-04-30,2017,4
2017_05,2017,5,Spanish Grand Prix,catalunya,Spain,2017-05-14,2017,5
2017_06,2017,6,Monaco Grand Prix,monaco,Monaco,2017-05-28,2017,5
2017_07,2017,7,Canadian Grand Prix,villeneuve,Canada,2017-06-11,2017,6
2017_08,2017,8,Azerbaijan Grand Prix,baku,Azerbaijan,2017-06-25,2017,6
2017_09,2017,9,Austrian Grand Prix,red_bull_ring,Austria,2017-07-09,2017,7
2017_10,2017,10,British Grand Prix,silverstone,UK,2017-07-16,2017,7
2017_11,2017,11,Hungarian Grand Prix,hungaroring,Hungary,2017-07-30,2017,7
2017_12,2017,12,Belgian Grand Prix,spa,Belgium,2017-08-27,2017,8
2017_13,2017,13,Italian Grand Prix,monza,Italy,2017-09-03,2017,9
2017_14,2017,14,Singapore Grand Prix,marina_bay,Singapore,2017-09-17,2017,9
2017_15,2017,15,Malaysian Grand Prix,sepang,Malaysia,2017-10-01,2017,10
2017_16,2017,16,Japanese Grand Prix,suzuka,Japan,2017-10-08,2017,10
2017_17,2017,17,United States Grand Prix,americas,USA,2017-10-22,2017,10
2017_18,2017,18,Mexican Grand Prix,rodriguez,Mexico,2017-10-29,2017,10
2017_19,2017,19,Brazilian Grand Prix,interlagos,Brazil,2017-11-12,2017,11
2017_20,2017,20,Abu Dhabi Grand Prix,yas_marina,UAE,2017-11-26,2017,11
2018_01,2018,1,Australian Grand Prix,albert_park,Australia,2018-03-25,2018,3
2018_02,2018,2,Bahrain Grand Prix,bahrain,Bahrain,2018-04-08,2018,4
2018_03,2018,3,Chinese Grand Prix,shanghai,China,2018-04-15,2018,4
2018_04,2018,4,Azerbaijan Grand Prix,baku,Azerbaijan,2018-04-29,2018,4
2018_05,2018,5,Spanish Grand Prix,catalunya,Spain,2018-05-13,2018,5
2018_06,2018,6,Monaco Grand Prix,monaco,Monaco,2018-05-27,2018,5
2018_07,2018,7,Canadian Grand Prix,villeneuve,Canada,2018-06-10,2018,6
2018_08,2018,8,French Grand Prix,ricard,France,2018-06-24,2018,6
2018_09,2018,9,Austrian Grand Prix,red_bull_ring,Austria,2018-07-01,2018,7
2018_10,2018,10,British Grand Prix,silverstone,UK,2018-07-08,2018,7
2018_11,2018,11,German Grand Prix,hockenheimring,Germany,2018-07-22,2018,7
2018_12,2018,12,Hungarian Grand Prix,hungaroring,Hungary,2018-07-29,2018,7
2018_13,2018,13,Belgian Grand Prix,spa,Belgium,2018-08-26,2018,8
2018_14,2018,14,Italian Grand Prix,monza,Italy,2018-09-02,2018,9
2018_15,2018,15,Singapore Grand Prix,marina_bay,Singapore,2018-09-16,2018,9
2018_16,2018,16,Russian Grand Prix,sochi,Russia,2018-09-30,2018,9
2018_17,2018,17,Japanese Grand Prix,suzuka,Japan,2018-10-07,2018,10
2018_18,2018,18,United States Grand Prix,americas,USA,2018-10-21,2018,10
2018_19,2018,19,Mexican Grand Prix,rodriguez,Mexico,2018-10-28,2018,10
2018_20,2018,20,Brazilian Grand Prix,interlagos,Brazil,2018-11-11,2018,11
2018_21,2018,21,Abu Dhabi Grand Prix,yas_marina,UAE,2018-11-25,2018,11
