season,round,driver_id,lap_number,position,lap_time,lap_time_ms
2015,1,button,1,,2:34.851,154851
2015,1,ericsson,1,,2:46.959,166959
2015,1,hamilton,1,,2:22.988,142988
2015,1,hulkenberg,1,,2:33.291,153291
2015,1,massa,1,,2:26.113,146113
2015,1,max_verstappen,1,,2:32.685,152685
2015,1,nasr,1,,2:29.928,149928
2015,1,perez,1,,2:33.942,153942
2015,1,raikkonen,1,,2:31.903,151903
2015,1,ricciardo,1,,2:30.426,150426
2015,1,rosberg,1,,2:24.350,144350
2015,1,sainz,1,,2:28.880,148880
2015,1,vettel,1,,2:27.522,147522
2015,1,button,2,,2:24.513,144513
2015,1,ericsson,2,,2:13.281,133281
2015,1,hamilton,2,,2:26.005,146005
2015,1,hulkenberg,2,,2:24.593,144593
2015,1,massa,2,,2:24.418,144418
2015,1,max_verstappen,2,,2:23.966,143966
2015,1,nasr,2,,2:23.809,143809
2015,1,perez,2,,2:24.532,144532
2015,1,raikkonen,2,,2:23.867,143867
2015,1,ricciardo,2,,2:23.889,143889
2015,1,rosberg,2,,2:25.242,145242
2015,1,sainz,2,,2:23.584,143584
2015,1,vettel,2,,2:24.069,144069
2015,1,button,3,,2:09.601,129601
2015,1,ericsson,3,,2:09.284,129284
2015,1,hamilton,3,,2:13.785,133785
2015,1,hulkenberg,3,,2:09.971,129971
2015,1,massa,3,,2:14.436,134436
2015,1,max_verstappen,3,,2:10.745,130745
2015,1,nasr,3,,2:12.364,132364
2015,1,perez,3,,2:10.016,130016
2015,1,raikkonen,3,,2:11.256,131256
2015,1,ricciardo,3,,2:12.122,132122
2015,1,rosberg,3,,2:14.420,134420
2015,1,sainz,3,,2:13.584,133584
2015,1,vettel,3,,2:13.846,133846
2015,1,button,4,,1:38.571,98571
2015,1,ericsson,4,,1:38.426,98426
2015,1,hamilton,4,,1:33.493,93493
2015,1,hulkenberg,4,,1:37.991,97991
2015,1,massa,4,,1:35.150,95150
2015,1,max_verstappen,4,,1:37.782,97782
2015,1,nasr,4,,1:36.284,96284
2015,1,perez,4,,1:40.153,100153
2015,1,raikkonen,4,,1:37.230,97230
2015,1,ricciardo,4,,1:36.675,96675
2015,1,rosberg,4,,1:34.638,94638
2015,1,sainz,4,,1:37.662,97662
2015,1,vettel,4,,1:35.361,95361
2015,1,button,5,,1:37.812,97812
2015,1,ericsson,5,,1:36.659,96659
2015,1,hamilton,5,,1:32.765,92765
2015,1,hulkenberg,5,,1:35.944,95944
2015,1,massa,5,,1:33.928,93928
2015,1,max_verstappen,5,,1:35.735,95735
2015,1,nasr,5,,1:35.148,95148
2015,1,perez,5,,1:37.226,97226
2015,1,raikkonen,5,,1:35.071,95071
2015,1,ricciardo,5,,1:35.092,95092
2015,1,rosberg,5,,1:33.068,93068
2015,1,sainz,5,,1:35.195,95195
2015,1,vettel,5,,1:34.027,94027
2015,1,button,6,,1:36.461,96461
2015,1,ericsson,6,,1:34.748,94748
2015,1,hamilton,6,,1:32.685,92685
2015,1,hulkenberg,6,,1:35.314,95314
2015,1,massa,6,,1:33.470,93470
2015,1,max_verstappen,6,,1:35.370,95370
2015,1,nasr,6,,1:34.761,94761
2015,1,perez,6,,1:36.967,96967
2015,1,raikkonen,6,,1:34.684,94684
2015,1,ricciardo,6,,1:34.810,94810
2015,1,rosberg,6,,1:32.371,92371
2015,1,sainz,6,,1:34.557,94557
2015,1,vettel,6,,1:33.438,93438
2015,1,button,7,,1:36.027,96027
2015,1,ericsson,7,,1:34.755,94755
2015,1,hamilton,7,,1:32.593,92593
2015,1,hulkenberg,7,,1:35.164,95164
2015,1,massa,7,,1:33.205,93205
2015,1,max_verstappen,7,,1:35.040,95040
2015,1,nasr,7,,1:34.263,94263
2015,1,perez,7,,1:38.563,98563
2015,1,raikkonen,7,,1:34.126,94126
2015,1,ricciardo,7,,1:34.420,94420
2015,1,rosberg,7,,1:32.827,92827
2015,1,sainz,7,,1:35.417,95417
2015,1,vettel,7,,1:33.197,93197
2015,1,hamilton,8,,1:32.899,92899
2015,1,massa,8,,1:33.576,93576
2015,1,max_verstappen,8,,1:35.169,95169
2015,1,nasr,8,,1:34.505,94505
2015,1,raikkonen,8,,1:34.264,94264
2015,1,ricciardo,8,,1:34.510,94510
2015,1,rosberg,8,,1:32.460,92460
2015,1,sainz,8,,1:34.392,94392
2015,1,vettel,8,,1:33.754,93754
2015,2,alonso,1,,2:01.628,121628
2015,2,bottas,1,,2:00.921,120921
2015,2,button,1,,2:02.563,122563
