season,round,driver_id,stop_number,lap,time_of_day,duration,duration_ms
2015,1,ericsson,1,1,16:05:59,22.681,22681
2015,1,raikkonen,1,16,16:31:07,27.465,27465
2015,1,hulkenberg,1,21,16:39:11,22.137,22137
2015,1,massa,1,21,16:38:38,22.062,22062
2015,1,ricciardo,1,23,16:42:09,22.535,22535
2015,1,sainz,1,24,16:43:48,55.789,55789
2015,1,vettel,1,24,16:43:16,22.694,22694
2015,1,hamilton,1,25,16:44:32,22.295,22295
2015,1,nasr,1,25,16:45:12,22.933,22933
2015,1,ericsson,2,26,16:47:15,23.254,23254
2015,1,rosberg,1,26,16:46:11,22.105,22105
2015,1,button,1,27,16:49:15,23.353,23353
2015,1,max_verstappen,1,32,16:56:30,23.532,23532
2015,1,perez,1,38,17:06:52,26.009,26009
2015,1,raikkonen,2,40,17:08:30,22.405,22405
2015,1,ericsson,3,43,17:14:28,22.353,22353
2015,1,hulkenberg,2,44,17:15:43,21.612,21612
2015,2,maldonado,1,1,15:06:15,37.289,37289
2015,2,nasr,1,2,15:07:27,33.918,33918
2015,2,raikkonen,1,2,15:08:04,27.285,27285
2015,2,alonso,1,4,15:11:32,25.222,25222
2015,2,bottas,1,4,15:11:24,30.154,30154
2015,2,button,1,4,15:11:38,33.027,33027
2015,2,hamilton,1,4,15:11:07,26.094,26094
2015,2,kvyat,1,4,15:11:17,30.463,30463
2015,2,massa,1,4,15:11:16,25.831,25831
2015,2,max_verstappen,1,4,15:11:22,29.516,29516
2015,2,ricciardo,1,4,15:11:13,26.714,26714
2015,2,rosberg,1,4,15:11:11,33.689,33689
2015,2,merhi,1,5,15:14:03,27.540,27540
2015,2,raikkonen,2,14,15:30:53,24.744,24744
2015,2,sainz,1,14,15:30:50,25.126,25126
2015,2,grosjean,1,15,15:32:40,24.377,24377
2015,2,hulkenberg,1,15,15:32:38,25.826,25826
2015,2,perez,1,17,15:36:31,25.268,25268
2015,2,vettel,1,17,15:35:47,23.996,23996
2015,2,maldonado,2,18,15:38:27,37.394,37394
2015,2,ricciardo,2,18,15:38:11,25.604,25604
2015,2,max_verstappen,2,20,15:41:45,25.655,25655
2015,2,nasr,2,20,15:42:00,25.741,25741
2015,2,button,2,21,15:43:48,25.581,25581
2015,2,kvyat,2,21,15:43:36,24.781,24781
2015,2,merhi,2,22,15:46:29,27.004,27004
2015,2,hamilton,2,24,15:48:25,24.595,24595
2015,2,massa,2,24,15:48:49,24.788,24788
2015,2,bottas,2,25,15:50:42,24.432,24432
2015,2,grosjean,2,26,15:52:37,24.621,24621
2015,2,rosberg,2,26,15:52:07,24.574,24574
2015,2,nasr,3,30,16:00:16,25.331,25331
2015,2,hulkenberg,2,31,16:02:02,25.047,25047
2015,2,sainz,2,32,16:03:31,25.165,25165
2015,2,maldonado,3,33,16:05:48,24.276,24276
2015,2,grosjean,3,34,16:07:29,26.014,26014
2015,2,raikkonen,3,34,16:06:41,24.653,24653
2015,2,ricciardo,3,34,16:07:16,25.393,25393
2015,2,button,3,35,16:09:16,25.846,25846
2015,2,perez,2,35,16:09:15,35.776,35776
2015,2,vettel,2,37,16:11:15,25.092,25092
2015,2,hamilton,3,38,16:13:14,24.179,24179
2015,2,massa,3,38,16:13:54,26.971,26971
2015,2,kvyat,3,39,16:16:13,26.149,26149
2015,2,bottas,3,40,16:17:30,25.002,25002
2015,2,max_verstappen,3,40,16:17:48,24.768,24768
2015,2,rosberg,3,41,16:18:40,24.336,24336
2015,2,merhi,3,42,16:24:30,29.202,29202
2015,2,nasr,4,43,16:23:49,25.204,25204
2015,2,hulkenberg,3,44,16:25:34,35.351,35351
2015,3,nasr,1,10,14:21:26,23.409,23409
2015,3,maldonado,1,11,14:23:09,22.470,22470
2015,3,perez,1,11,14:23:19,22.829,22829
2015,3,alonso,1,12,14:25:14,23.238,23238
2015,3,grosjean,1,12,14:24:52,23.421,23421
2015,3,max_verstappen,1,12,14:24:59,24.256,24256
2015,3,massa,1,13,14:26:33,23.145,23145
2015,3,vettel,1,13,14:26:23,22.488,22488
2015,3,bottas,1,14,14:28:20,23.084,23084
2015,3,button,1,14,14:28:51,23.936,23936
2015,3,ericsson,1,14,14:28:36,23.846,23846
2015,3,hamilton,1,14,14:28:00,22.645,22645
2015,3,ricciardo,1,14,14:28:38,22.635,22635
2015,3,raikkonen,1,15,14:29:55,22.818,22818
2015,3,rosberg,1,15,14:29:48,22.483,22483
2015,3,stevens,1,16,14:32:55,24.132,24132
2015,3,merhi,1,17,14:34:51,25.938,25938
2015,3,sainz,1,19,14:37:55,23.795,23795
2015,3,perez,2,26,14:50:03,23.338,23338
2015,3,ericsson,2,30,14:57:12,24.589,24589
2015,3,vettel,2,30,14:56:09,22.444,22444
2015,3,nasr,2,31,14:58:53,23.732,23732
2015,3,rosberg,2,31,14:57:50,22.829,22829
2015,3,button,2,32,15:00:57,23.273,23273
2015,3,grosjean,2,32,15:00:30,23.605,23605
2015,3,max_verstappen,2,32,15:00:35,23.258,23258
2015,3,hamilton,2,33,15:01:11,22.235,22235
2015,3,maldonado,2,33,15:02:42,22.899,22899
2015,3,massa,2,34,15:03:37,23.317,23317
2015,3,raikkonen,2,34,15:03:09,22.453,22453
2015,3,alonso,2,35,15:06:28,23.345,23345
2015,3,bottas,2,35,15:05:28,23.582,23582
2015,3,ricciardo,2,36,15:07:45,22.897,22897
2015,3,stevens,2,38,15:13:29,24.054,24054
2015,3,sainz,2,39,15:14:00,23.424,23424
2015,3,merhi,2,40,15:17:19,24.088,24088
2015,3,perez,3,41,15:16:42,23.144,23144
2015,3,maldonado,3,48,15:29:49,17.912,17912
2015,4,max_verstappen,1,6,18:14:10,39.338,39338
2015,4,hulkenberg,1,10,18:20:48,26.652,26652
2015,4,maldonado,1,10,18:20:58,30.426,30426
2015,4,massa,1,10,18:20:57,24.894,24894
2015,4,nasr,1,10,18:20:56,25.459,25459
2015,4,ericsson,1,11,18:22:33,26.045,26045
2015,4,sainz,1,11,18:22:40,32.647,32647
2015,4,grosjean,1,12,18:24:12,24.735,24735
2015,4,alonso,1,13,18:26:08,25.370,25370
2015,4,vettel,1,13,18:25:38,24.509,24509
2015,4,bottas,1,14,18:27:28,25.293,25293
2015,4,ricciardo,1,14,18:27:29,25.723,25723
2015,4,rosberg,1,14,18:27:16,25.311,25311
2015,4,hamilton,1,15,18:28:52,25.791,25791
2015,4,kvyat,1,15,18:29:32,25.421,25421
2015,4,perez,1,17,18:32:51,25.573,25573
2015,4,raikkonen,1,17,18:32:23,24.773,24773
2015,4,merhi,1,18,18:35:44,25.834,25834
2015,4,stevens,1,19,18:37:18,26.103,26103
2015,4,maldonado,2,24,18:44:54,24.310,24310
2015,4,massa,2,24,18:44:53,25.017,25017
2015,4,nasr,2,24,18:44:52,25.898,25898
2015,4,ericsson,2,25,18:46:26,49.162,49162
2015,4,hulkenberg,2,25,18:46:33,24.679,24679
2015,4,sainz,2,29,18:53:43,26.593,26593
2015,4,max_verstappen,2,30,18:55:37,27.225,27225
2015,4,grosjean,2,31,18:56:32,25.259,25259
2015,4,vettel,2,32,18:57:31,24.449,24449
2015,4,bottas,2,33,18:59:33,24.623,24623
2015,4,hamilton,2,33,18:59:01,24.528,24528
2015,4,stevens,2,33,19:01:49,26.479,26479
2015,4,kvyat,2,34,19:01:53,24.692,24692
2015,4,merhi,2,34,19:04:04,27.573,27573
2015,4,rosberg,2,34,19:00:48,25.418,25418
2015,4,alonso,2,35,19:03:51,24.878,24878
2015,4,ricciardo,2,35,19:03:02,24.943,24943
2015,4,vettel,3,36,19:04:29,33.921,33921
2015,4,ericsson,3,37,19:07:13,26.042,26042
2015,4,perez,2,37,19:06:50,25.288,25288
2015,4,hulkenberg,3,38,19:08:50,24.979,24979
2015,4,raikkonen,2,40,19:10:55,24.547,24547
2015,4,nasr,3,41,19:13:54,26.210,26210
2015,5,hulkenberg,1,10,14:19:46,22.659,22659
2015,5,button,1,11,14:21:23,22.589,22589
2015,5,kvyat,1,11,14:21:18,22.667,22667
2015,5,nasr,1,12,14:22:55,22.677,22677
2015,5,hamilton,1,13,14:23:49,24.586,24586
2015,5,max_verstappen,1,13,14:24:19,24.396,24396
2015,5,ricciardo,1,13,14:24:18,22.440,22440
2015,5,maldonado,1,14,14:25:48,24.976,24976
2015,5,massa,1,14,14:25:37,22.139,22139
2015,5,sainz,1,14,14:25:58,22.859,22859
2015,5,vettel,1,14,14:25:21,21.762,21762
2015,5,bottas,1,15,14:27:01,22.082,22082
2015,5,grosjean,1,15,14:27:28,23.309,23309
2015,5,maldonado,2,15,14:27:46,32.459,32459
2015,5,rosberg,1,15,14:26:45,21.870,21870
2015,5,stevens,1,16,14:29:49,24.687,24687
2015,5,merhi,1,17,14:31:33,24.631,24631
2015,5,raikkonen,1,17,14:30:09,22.623,22623
2015,5,ericsson,1,18,14:32:23,25.272,25272
2015,5,perez,1,19,14:33:59,22.468,22468
2015,5,alonso,1,21,14:37:01,23.728,23728
2015,5,hulkenberg,2,26,14:45:13,22.534,22534
2015,5,button,2,27,14:47:05,23.327,23327
2015,5,merhi,2,30,14:53:03,23.070,23070
2015,5,hamilton,2,32,14:53:17,22.727,22727
2015,5,massa,2,32,14:53:41,22.629,22629
2015,5,stevens,2,32,14:56:02,23.043,23043
2015,5,perez,2,36,15:01:03,22.426,22426
2015,5,max_verstappen,2,37,15:02:19,22.607,22607
2015,5,kvyat,2,38,15:03:48,22.273,22273
2015,5,nasr,2,39,15:05:35,23.186,23186
2015,5,grosjean,2,40,15:06:43,33.256,33256
2015,5,vettel,2,40,15:05:38,21.836,21836
2015,5,raikkonen,2,41,15:07:35,21.789,21789
2015,5,bottas,2,42,15:08:57,21.800,21800
2015,5,ricciardo,2,42,15:09:42,24.884,24884
2015,5,sainz,2,42,15:10:08,22.178,22178
2015,5,maldonado,3,43,15:12:01,22.575,22575
2015,5,button,3,44,15:13:49,24.066,24066
2015,5,ericsson,2,45,15:15:00,22.872,22872
2015,5,rosberg,2,45,15:13:00,22.452,22452
2015,5,massa,3,47,15:17:04,22.257,22257
2015,5,stevens,3,47,15:20:31,22.796,22796
2015,5,hulkenberg,3,49,15:21:24,22.545,22545
2015,5,merhi,3,49,15:24:15,24.200,24200
2015,5,hamilton,3,51,15:22:23,21.965,21965
2015,6,hulkenberg,1,1,14:04:47,34.773,34773
2015,6,massa,1,1,14:05:03,42.934,42934
2015,6,sainz,1,12,14:19:42,25.306,25306
2015,6,bottas,1,14,14:22:23,24.641,24641
2015,6,ericsson,1,14,14:22:25,25.618,25618
2015,6,grosjean,1,17,14:26:21,25.077,25077
2015,6,nasr,1,18,14:27:40,25.732,25732
2015,6,kvyat,1,28,14:40:43,25.119,25119
2015,6,max_verstappen,1,29,14:42:14,52.821,52821
2015,6,hulkenberg,2,31,14:46:02,24.758,24758
2015,6,alonso,1,32,14:46:31,30.345,30345
2015,6,stevens,1,33,14:50:20,28.606,28606
2015,6,button,1,35,14:50:28,25.062,25062
2015,6,merhi,1,35,14:52:53,27.554,27554
2015,6,perez,1,36,14:51:43,24.733,24733
2015,6,ricciardo,1,36,14:51:34,24.501,24501
2015,6,vettel,1,36,14:51:19,24.851,24851
2015,6,raikkonen,1,37,14:52:54,24.177,24177
2015,6,rosberg,1,37,14:52:37,24.789,24789
2015,6,ericsson,2,38,14:55:31,25.398,25398
2015,6,hamilton,1,38,14:53:49,24.181,24181
2015,6,massa,2,39,14:58:08,24.970,24970
2015,6,max_verstappen,2,46,15:06:05,25.736,25736
