result_id,race_id,season,round,driver_id,constructor_id,grid_position,finish_position,position_text,points,laps_completed,status,fastest_lap_rank,fastest_lap_time,is_classified,qualifying_position,q1_ms,q2_ms,q3_ms
2015_01_bottas,2015_01,2015,1,bottas,williams,0.0,,W,0.0,0.0,Withdrew,,,False,6.0,89641.0,87796.0,88087.0
2015_01_button,2015_01,2015,1,button,mclaren,16.0,11.0,11,0.0,56.0,+2 Laps,,1:33.338,True,17.0,91422.0,,
2015_01_ericsson,2015_01,2015,1,ericsson,sauber,15.0,8.0,8,4.0,57.0,+1 Lap,,1:31.560,True,16.0,91376.0,,
2015_01_grosjean,2015_01,2015,1,grosjean,lotus_f1,8.0,,R,0.0,0.0,Power loss,,,False,9.0,89537.0,88589.0,88560.0
2015_01_hamilton,2015_01,2015,1,hamilton,mercedes,1.0,1.0,1,25.0,58.0,Finished,,1:30.945,True,1.0,88586.0,86894.0,86327.0
2015_01_hulkenberg,2015_01,2015,1,hulkenberg,force_india,13.0,7.0,7,6.0,57.0,+1 Lap,,1:31.970,True,14.0,89651.0,89208.0,
2015_01_kevin_magnussen,2015_01,2015,1,kevin_magnussen,mclaren,17.0,,W,0.0,0.0,Withdrew,,,False,18.0,92037.0,,
2015_01_kvyat,2015_01,2015,1,kvyat,red_bull,12.0,,W,0.0,0.0,Withdrew,,,False,13.0,90402.0,89070.0,
2015_01_maldonado,2015_01,2015,1,maldonado,lotus_f1,9.0,,R,0.0,0.0,Accident,,,False,10.0,89847.0,88726.0,89480.0
2015_01_massa,2015_01,2015,1,massa,williams,3.0,4.0,4,12.0,58.0,Finished,,1:31.719,True,3.0,89246.0,87895.0,87718.0
2015_01_max_verstappen,2015_01,2015,1,max_verstappen,toro_rosso,11.0,,R,0.0,32.0,Engine,,1:34.295,False,12.0,89248.0,88868.0,
2015_01_nasr,2015_01,2015,1,nasr,sauber,10.0,5.0,5,10.0,58.0,Finished,,1:32.612,True,11.0,90430.0,88800.0,
2015_01_perez,2015_01,2015,1,perez,force_india,14.0,10.0,10,1.0,57.0,+1 Lap,,1:31.959,True,15.0,89990.0,89209.0,
