race_id,race_date,driver_id,constructor_id,circuit_id,finish_position,season,grid_position,qualifying_position,grid_penalty_positions,driver_prior_season_points,driver_prior_season_wins,constructor_prior_season_points,constructor_prior_season_dnf_rate,circuit_avg_lap_time_ms,circuit_races_held,is_rookie_or_new_team,driver_points_this_season_so_far,driver_avg_finish_last_3,top10_finish,podium_finish
2015_03,2015-04-12,alonso,mclaren,shanghai,12.0,2015,18,18.0,0.0,0.0,0.0,0.0,0.0,107764.43365134433,8,1,0.0,9.5,0,0
2015_04,2015-04-19,alonso,mclaren,bahrain,11.0,2015,14,14.0,0.0,0.0,0.0,0.0,0.0,104555.70903790087,12,1,0.0,12.0,0,0
2015_09,2015-07-05,alonso,mclaren,silverstone,10.0,2015,17,17.0,0.0,0.0,0.0,0.0,0.0,115608.07343412528,13,1,0.0,9.5,1,0
2015_10,2015-07-26,alonso,mclaren,hungaroring,5.0,2015,15,15.0,0.0,0.0,0.0,0.0,0.0,90162.13141486813,12,1,1.0,10.0,1,0
2015_11,2015-08-23,alonso,mclaren,spa,13.0,2015,20,18.0,2.0,0.0,0.0,0.0,0.0,133869.30844793713,12,1,11.0,7.5,0,0
2015_12,2015-09-06,alonso,mclaren,monza,18.0,2015,16,17.0,-1.0,0.0,0.0,0.0,0.0,91340.01062887513,12,1,11.0,9.333333333333334,0,0
2015_14,2015-09-27,alonso,mclaren,suzuka,11.0,2015,12,14.0,-2.0,0.0,0.0,0.0,0.0,110508.64505928854,10,1,11.0,15.5,0,0
2015_15,2015-10-11,alonso,mclaren,sochi,11.0,2015,19,16.0,3.0,0.0,0.0,0.0,0.0,127266.16137931036,7,1,11.0,14.5,0,0
2015_16,2015-10-25,alonso,mclaren,americas,11.0,2015,9,11.0,-2.0,0.0,0.0,0.0,0.0,108077.81705426356,11,1,11.0,11.0,0,0
2015_18,2015-11-15,alonso,mclaren,interlagos,15.0,2015,20,20.0,0.0,0.0,0.0,0.0,0.0,89274.3474533535,11,1,11.0,11.0,0,0
2015_19,2015-11-29,alonso,mclaren,yas_marina,17.0,2015,16,17.0,-1.0,0.0,0.0,0.0,0.0,101999.58471965496,12,1,11.0,13.0,0,0
2015_02,2015-03-29,bottas,williams,sepang,5.0,2015,8,9.0,-1.0,0.0,0.0,0.0,0.0,112226.03571428572,3,1,0.0,9.5,1,0
2015_03,2015-04-12,bottas,williams,shanghai,6.0,2015,5,5.0,0.0,0.0,0.0,0.0,0.0,107764.43365134433,8,1,10.0,5.0,1,0
2015_04,2015-04-19,bottas,williams,bahrain,4.0,2015,5,5.0,0.0,0.0,0.0,0.0,0.0,104555.70903790087,12,1,18.0,5.5,1,0
